cru,060119,060119
psp,060925,060930
psp,061001,061005
psp,061108,061130
psp,061121,061121
psp,061201,061231
psp,070101,070131
psp,070201,070228
psp,070301,070331
psp,070401,070426
psp,070512,070531
psp,070601,070630
psp,070701,070731
psp,070801,070831
psp,070816,070817
psp,070828,070828
psp,070901,070930
psp,070928,070929
psp,071001,071031
psp,071030,071103
psp,071101,071105
psp,071216,071231
psp,080101,080131
psp,080201,080229
psp,080213,080213
psp,080214,080214
psp,080301,080312
psp,080413,080430
psp,080501,080531
psp,080601,080630
psp,080701,080731
psp,080801,080831
psp,080901,080930
psp,081001,081031
psp,081101,081120
psp,081220,081231
psp,090101,090130
psp,090201,090222
psp,090303,090331
psp,090401,090430
psp,090501,090531
psp,090601,090630
psp,090701,090731
psp,090801,090826
psp,091216,091231
psp,100101,100131
psp,100201,100228
psp,100301,100331
psp,100401,100401
psp,100401,100430
psp,100501,100531
psp,100601,100630
psp,100701,100731
psp,100801,100831
psp,100901,100930
psp,101001,101031
psp,101101,101130
psp,101201,101231
psp,110101,110115
psp,110223,110228
psp,110301,110331
psp,110401,110430
psp,110501,110531
psp,110601,110630
psp,110701,110731
psp,110801,110831
psp,110901,110930
psp,111001,111031
psp,111101,111130
psp,111201,111231
psp,111225,111226
psp,120101,120101
psp,120101,120131
psp,120201,120229
psp,120229,120229
psp,120301,120331
psp,120401,120430
psp,120418,120419
psp,120426,120426
psp,120501,120531
psp,120512,120512
psp,120516,120517
psp,120601,120630
psp,120701,120731
psp,120801,120803
psp,120917,120930
psp,121001,121031
psp,121101,121130
psp,121120,121120
psp,121201,121231
psp,130101,130131
psp,130201,130228
psp,130301,130330
psp,130505,130531
psp,130601,130630
psp,130701,130731
psp,130801,130831
psp,130901,130930
psp,131001,131031
psp,131101,131130
psp,131201,131231
psp,140101,140131
psp,140201,140228
psp,140301,140331
psp,140401,140430
psp,140501,140531
psp,140601,140630
psp,140701,140731
psp,140801,140826
psp,140902,140930
psp,141001,141031
psp,141101,141130
psp,141201,141231
psp,150101,150131
psp,150201,150228
psp,150301,150331
psp,150405,150430
psp,150501,150530
psp,150702,150731
psp,150801,150831
psp,150901,150930
psp,151001,151031
psp,151101,151130
psp,151201,151231
psp,160101,160123
psp,160205,160229
psp,160301,160331
psp,160401,160430
psp,160501,160531
psp,160601,160630
psp,160701,160731
psp,160801,160831
psp,160901,160930
psp,161001,161031
psp,161101,161130
psp,161201,161231
psp,170101,170131
psp,170201,170228
psp,170301,170331
psp,170401,170430
psp,170501,170531
psp,170601,170630
psp,170701,170715
psp,170810,170831
psp,170901,170930
psp,171001,171031
psp,171101,171130
psp,171120,171121
psp,171130,171130
psp,171201,171231
psp,171203,171203
psp,180101,180131
psp,180201,180215
psp,180303,180331
psp,180401,180430
psp,180501,180531
psp,180601,180630
psp,180701,180731
psp,180801,180831
psp,180901,180930
psp,181001,181015
psp,181201,181231
psp,190101,190131
psp,190201,190228
psp,190301,190331
psp,190401,190430
psp,190501,190531
psp,190601,190630
psp,190701,190731
psp,190801,190817
psp,190915,190930
psp,191001,191031
psp,191101,191130
psp,191201,191231
psp,200101,200131
psp,200201,200215
psp,200301,200331
psp,200401,200430
psp,200501,200531
psp,200601,200630
psp,200701,200731
psp,200801,200831
psp,200901,200930
psp,201001,201031
psp,201101,201130
psp,201106,201106
psp,201201,201231
psp,210101,210131
psp,210201,210228
psp,210301,210331
psp,210401,210430
psp,210501,210531
psp,210601,210630
psp,210701,210731
psp,210801,210831
psp,210901,210925
psp,211024,211031
psp,211101,211130
psp,211201,211231
psp,220101,220131
psp,220201,220228
psp,220301,220331
psp,220401,220430
psp,220501,220507
